Annual report for 2021 for SiteId : 6814,,,,,,,,,,,,,,,,
Month,24hr,24hr,24hr,24hr,18hr,18hr,18hr,18hr,16hr,16hr,16hr,16hr,12hr,12hr,12hr,12hr
,ADT,%>6.6m,AWT,%>6.6m,ADT,%>6.6m,AWT,%>6.6m,ADT,%>6.6m,AWT,%>6.6m,ADT,%>6.6m,AWT,%>6.6m
Mar,22126,13.4,24881,14.7,20919,12.6,23506,14.0,20187,12.3,22671,13.6,17676,12.1,19832,13.5
Apr,25549,12.4,27424,13.5,24179,11.6,25962,12.7,23364,11.4,25092,12.6,20440,11.4,21909,12.6
May,23900,11.2,26662,13.2,22733,10.6,25345,12.6,21941,10.4,24440,12.5,19218,10.4,21320,12.5
Jun,27026,13.0,28133,13.8,25608,12.2,26663,13.1,24620,12.0,25639,12.8,21390,11.8,22259,12.6
Jul,25044,11.5,27172,13.1,23689,10.8,25720,12.4,22779,10.6,24751,12.3,19801,10.6,21452,12.4
Aug,25385,11.1,27871,13.0,24090,10.4,26479,12.3,23222,10.3,25536,12.2,20221,10.3,22209,12.3
Sep,25566,11.6,27923,13.8,24175,10.8,26428,13.0,23272,10.7,25442,12.8,20201,10.6,22027,12.9
Oct,26225,12.1,28805,14.1,24717,11.1,27145,13.1,23716,10.9,26016,12.9,20713,10.8,22691,12.9
Nov,26622,12.7,28742,14.3,25032,11.7,27033,13.3,23987,11.5,25872,13.1,21062,11.4,22651,13.1
Dec,22172,11.0,24619,12.8,21017,10.2,23306,11.9,20123,10.0,22306,11.7,17555,9.9,19462,11.6
Avg,24961,12.0,27223,13.6,23615,11.2,25758,12.8,22721,11.0,24776,12.6,19827,10.9,21581,12.6
Site Hours,4959,,,,,,,,,,,,,,,
Number of Hours (days),225,,,,,,,,,,,,,,,
1a. AADF (One way - 12 hr),19827,,,,,,,,,,,,,,,
1b. AADF (One way - 16 hr),22721,,,,,,,,,,,,,,,
1c. AADF (One way - 18 hr),23615,,,,,,,,,,,,,,,
2a. AAWF (One way - 12 hr),21581,,,,,,,,,,,,,,,
2b. AAWF (One way - 16 hr),24776,,,,,,,,,,,,,,,
2c. AAWF (One way - 18 hr),25758,,,,,,,,,,,,,,,
3a. peak daily flow,30973,,,,,,,,,,,,,,,
3b. peak daily flow date,03/12/2021 00:00:00,,,,,,,,,,,,,,,
3c. peak hourly flow,2747,,,,,,,,,,,,,,,
3d. peak hourly flow date/time,19/05/2021 17:00:00,,,,,,,,,,,,,,,
4a. AADF (Two way) 16 Hr,,,,,,,,,,,,,,,,
4b. AADF (Two way) 24 Hr,,,,,,,,,,,,,,,,
5. CRF,,,,,,,,,,,,,,,,
6. Stress,,,,,,,,,,,,,,,,
7a. % vehicles over (AADF),12.01%,,,,,,,,,,,,,,,
7b. % vehicles over (AAWF),13.63%,,,,,,,,,,,,,,,
